R1;Fre;17/07/2015;18.00;FCN;SDR;0;2;3211
R1;Lor;18/07/2015;16.00;FCM;VFF;2;0;7232
R1;Son;19/07/2015;13.30;OB;HOB;3;0;7797;
R1;Son;19/07/2015;18.00;AGF;BIF;2;1;13437;
R1;Man;20/07/2015;19.00;AAB;EFB;1;1;7764;
R1;Ons;16/09/2015;18.30;FCK;RFC;3;0;10195;
R2;Fre;24/07/2015;18.00;HOB;AAB;0;1;4686;
R2;Fre;24/07/2015;20.00;SDR;FCM;1;2;5245;
R2;Son;26/07/2015;14.00;RFC;FCN;3;0;3389;
R2;Son;26/07/2015;16.00;BIF;OB;1;2;11494;
R2;Son;26/07/2015;18.00;EFB;FCK;1;2;9255;
R2;Man;27/07/2015;19.00;VFF;AGF;0;0;6318;
R3;Fre;31/07/2015;18.00;VFF;EFB;2;1;3557;
R3;Fre;31/07/2015;20.30;FCM;OB;1;0;6477;
R3;Son;02/08/2015;13.30;AGF;RFC;3;2;10532;
R3;Son;02/08/2015;16.00;SDR;FCK;1;3;6242;
R3;Son;02/08/2015;18.00;BIF;HOB;0;2;9498;
R3;Man;03/08/2015;19.00;FCN;AAB;2;1;3267;
R4;Fre;07/08/2015;18.00;OB;AGF;2;2;9932;
R4;Lor;08/08/2015;16.00;HOB;VFF;1;1;3305;
R4;Son;09/08/2015;13.30;EFB;SDR;0;4;7500;
R4;Son;09/08/2015;16.00;FCK;FCN;1;1;11722;
R4;Son;09/08/2015;18.00;RFC;BIF;3;3;7412;
R4;Man;10/08/2015;19.00;AAB;FCM;0;2;7077;
R5;Fre;14/08/2015;18.00;FCM;FCK;0;0;10822;
R5;Lor;15/08/2015;16.00;AGF;AAB;2;3;10114;
R5;Son;16/08/2015;13.30;FCN;EFB;1;2;2704;
R5;Son;16/08/2015;16.00;VFF;BIF;0;4;7747;
R5;Son;16/08/2015;18.00;OB;RFC;2;3;7692;
R5;Man;17/08/2015;19.00;SDR;HOB;3;0;4204;
R6;Fre;21/08/2015;18.30;HOB;FCN;1;3;2007;
R6;Son;23/08/2015;13.30;RFC;VFF;0;1;5347;
R6;Son;23/08/2015;16.00;BIF;SDR;1;0;11376;
R6;Son;23/08/2015;18.00;FCK;AGF;2;2;18837;
R6;Son;23/08/2015;20.30;EFB;FCM;1;1;5256;
R6;Man;24/08/2015;19.00;AAB;OB;5;1;8041;
R7;Fre;28/08/2015;18.00;AGF;EFB;0;0;11321;
R7;Lor;29/08/2015;16.00;SDR;VFF;2;1;4345;
R7;Son;30/08/2015;13.30;AAB;RFC;0;2;6188;
R7;Son;30/08/2015;16.00;FCN;BIF;0;2;6455;
R7;Son;30/08/2015;18.00;OB;FCK;1;0;10039;
R7;Son;30/08/2015;20.30;FCM;HOB;2;0;6008;
R8;Fre;11/09/2015;18.00;HOB;AGF;0;3;3350;
R8;Lor;12/09/2015;16.00;VFF;FCN;0;1;3254;
R8;Son;13/09/2015;13.30;RFC;SDR;1;0;3928;
